name,role,type,demographic,description,units,missing_values,project_category,prediction_time_status,primary_model_use
nateglinide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
chlorpropamide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glimepiride,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
acetohexamide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glipizide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glyburide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
tolbutamide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
pioglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
rosiglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
acarbose,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
miglitol,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
troglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
tolazamide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
examide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
citoglipton,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
insulin,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glyburide-metformin,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glipizide-metformin,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
glimepiride-pioglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
metformin-rosiglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
metformin-pioglitazone,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
change,Feature,Categorical,,Indicates if there was a change in diabetic medications (either dosage or generic name). Values: change and no change,,no,medication,available_by_discharge,candidate_feature
diabetesMed,Feature,Categorical,,Indicates if there was any diabetic medication prescribed. Values: yes and no,,no,medication,available_by_discharge,candidate_feature
readmitted,Target,Categorical,,"Days to inpatient readmission. Values: <30 if the patient was readmitted in less than 30 days, >30 if the patient was readmitted in more than 30 days, and No for no record of readmission.",,no,target,future_outcome_target,target
